id,programa,fecha_instalacion,latitud,longitud,colonia,alcaldia
19 DE MAYO-10-241-01,Colonias_sin_WiFi,,19.36260558,-99.25295626,19 DE MAYO,Álvaro Obregón
1A AMPLIACION SANTIAGO ACAHUALTEPEC-07-254-01,Colonias_sin_WiFi,,19.35254,-99.01039,1A AMPLIACION SANTIAGO ACAHUALTEPEC,Iztapalapa
1A AMPLIACION SANTIAGO ACAHUALTEPEC-07-254-02,Colonias_sin_WiFi,,19.35125116,-99.00999147,1A AMPLIACION SANTIAGO ACAHUALTEPEC,Iztapalapa
SAN LORENZO ACOPILCO (PBLO)-04-045-01,Colonias_sin_WiFi,,19.33189818,-99.32573767,SAN LORENZO ACOPILCO (PBLO),Cuajimalpa de Morelos
26 DE JULIO-10-244-01,Colonias_sin_WiFi,,19.357752,-99.25105,26 DE JULIO,Álvaro Obregón
26 DE JULIO-10-244-02,Colonias_sin_WiFi,,19.357166,-99.250871,26 DE JULIO,Álvaro Obregón
SANTA LUCIA-10-200-01,Colonias_sin_WiFi,,19.35737074,-99.2499176,SANTA LUCIA,Álvaro Obregón
TLAPECHICO-10-224-02,Colonias_sin_WiFi,,19.379844,-99.243171,TLAPECHICO,Álvaro Obregón
51 LEGISLATURA-05-210-01,Colonias_sin_WiFi,,19.48311186,-99.09296565,51 LEGISLATURA,Gustavo A. Madero
PALMATITLA-05-132-01,Colonias_sin_WiFi,,19.55230309,-99.12682876,PALMATITLA,Gustavo A. Madero
6 DE JUNIO-05-211-01,Colonias_sin_WiFi,,19.55087247,-99.12658196,6 DE JUNIO,Gustavo A. Madero
AARON SAENZ-17-001-01,Colonias_sin_WiFi,,19.413033,-99.122767,AARON SAENZ,Venustiano Carranza
ABRAHAM GONZALEZ-10-001-01,Colonias_sin_WiFi,,19.3858854,-99.2065708,ABRAHAM GONZALEZ,Álvaro Obregón
AHUACATITLA-12-001-01,Colonias_sin_WiFi,,19.207875,-99.163301,AHUACATITLA,Tlalpan
COCOYOTES-05-026-01,Colonias_sin_WiFi,,19.547053,-99.129809,COCOYOTES,Gustavo A. Madero
AHUEHUETES-05-003-01,Colonias_sin_WiFi,,19.54527,-99.130967,AHUEHUETES,Gustavo A. Madero
PUENTE COLORADO (AMPL)-10-185-01,Colonias_sin_WiFi,,19.34515755,-99.22875012,PUENTE COLORADO (AMPL),Álvaro Obregón
ALLEPETLALI (U HAB)-07-004-01,Colonias_sin_WiFi,,19.2896883,-99.06839178,ALLEPETLALI (U HAB),Iztapalapa
TEPETLICA EL ALTO-3 DE MAYO-12-170-02,Colonias_sin_WiFi,,19.23607712,-99.14676679,TEPETLICA EL ALTO-3 DE MAYO,Tlalpan
ALTOS TEPETLICA-13-001-01,Colonias_sin_WiFi,,19.23417574,-99.14620303,ALTOS TEPETLICA,Xochimilco
ALTOS TEPETLICA-13-001-02,Colonias_sin_WiFi,,19.23339449,-99.14700444,ALTOS TEPETLICA,Xochimilco
ANAHUAC LAGO NORTE-16-007-01,Colonias_sin_WiFi,,19.44665077,-99.18651274,ANAHUAC LAGO NORTE,Miguel Hidalgo
ANAHUAC PERALITOS-16-011-01,Colonias_sin_WiFi,,19.44930329,-99.18725229,ANAHUAC PERALITOS,Miguel Hidalgo
CHINAMPAC DE JUAREZ II-07-263-01,Colonias_sin_WiFi,,19.37541595,-99.04404258,CHINAMPAC DE JUAREZ II,Iztapalapa
LA FORESTAL 2-05-100-01,Colonias_sin_WiFi,,19.5643115,-99.12713504,LA FORESTAL 2,Gustavo A. Madero
ARTURO GAMIZ-10-017-01,Colonias_sin_WiFi,,19.35547857,-99.25477187,ARTURO GAMIZ,Álvaro Obregón
ATLAMAXAC-10-020-01,Colonias_sin_WiFi,,19.355793,-99.24753657,ATLAMAXAC,Álvaro Obregón
SAN PEDRO MARTIR (PBLO)-12-160-01,Colonias_sin_WiFi,,19.264435,-99.176666,SAN PEDRO MARTIR (PBLO),Tlalpan
ATOTOLCO-11-059-01,Colonias_sin_WiFi,,19.2652234,-99.020998,ATOTOLCO,Tláhuac
ATOTOLCO-11-059-02,Colonias_sin_WiFi,,19.266058,-99.023799,ATOTOLCO,Tláhuac
ATOTOLCO-11-059-03,Colonias_sin_WiFi,,19.2634328,-99.020891,ATOTOLCO,Tláhuac
AZTLAN (U HAB)-13-077-01,Colonias_sin_WiFi,,19.28602615,-99.10600948,AZTLAN (U HAB),Xochimilco
CUCHILLA PANTITLAN-17-016-01,Colonias_sin_WiFi,,19.42282279,-99.06774088,CUCHILLA PANTITLAN,Venustiano Carranza
CUATRO ARBOLES-17-015-02,Colonias_sin_WiFi,,19.41717,-99.084393,CUATRO ARBOLES,Venustiano Carranza
BARRANCAS DE GUADALUPE-07-013-01,Colonias_sin_WiFi,,19.32777318,-99.02231855,BARRANCAS DE GUADALUPE,Iztapalapa
TENORIOS (AMPL)-07-318-02,Colonias_sin_WiFi,,19.326427,-99.022935,TENORIOS (AMPL),Iztapalapa
BELEN DE LAS FLORES SECCION RELLENO-10-030-01,Colonias_sin_WiFi,,19.39794193,-99.21333247,BELEN DE LAS FLORES SECCION RELLENO,Álvaro Obregón
GUADALUPE VICTORIA-05-075-01,Colonias_sin_WiFi,,19.53754866,-99.14083752,GUADALUPE VICTORIA,Gustavo A. Madero
BENITO JUAREZ-07-015-01,Colonias_sin_WiFi,,19.32917,-99.08124,BENITO JUAREZ,Iztapalapa
BUENAVISTA I-07-258-01,Colonias_sin_WiFi,,19.333774,-99.033314,BUENAVISTA I,Iztapalapa
BUENAVISTA I-07-258-02,Colonias_sin_WiFi,,19.3310314,-99.033866,BUENAVISTA I,Iztapalapa
BUENAVISTA I-07-258-03,Colonias_sin_WiFi,,19.33330605,-99.03256628,BUENAVISTA I,Iztapalapa
BUENAVISTA I-07-258-05,Colonias_sin_WiFi,,19.33222469,-99.03170145,BUENAVISTA I,Iztapalapa
BUENAVISTA I-07-258-06,Colonias_sin_WiFi,,19.332265,-99.030414,BUENAVISTA I,Iztapalapa
BUENAVISTA I-07-258-07,Colonias_sin_WiFi,,19.33037172,-99.02730147,BUENAVISTA I,Iztapalapa
PARAJES BUENAVISTA (TETECON)-07-156-02,Colonias_sin_WiFi,,19.326,-99.030998,PARAJES BUENAVISTA (TETECON),Iztapalapa
BUENAVISTA II-07-259-01,Colonias_sin_WiFi,,19.3268513,-99.0302242,BUENAVISTA II,Iztapalapa
BUENAVISTA I-07-258-04,Colonias_sin_WiFi,,19.3286482,-99.0250717,BUENAVISTA I,Iztapalapa
BUENAVISTA II-07-259-03,Colonias_sin_WiFi,,19.3268477,-99.0240176,BUENAVISTA II,Iztapalapa
BUENAVISTA II-07-259-04,Colonias_sin_WiFi,,19.3248045,-99.0245239,BUENAVISTA II,Iztapalapa
BUENAVISTA II-07-259-06,Colonias_sin_WiFi,,19.32600534,-99.02995988,BUENAVISTA II,Iztapalapa
BUENAVISTA II-07-259-07,Colonias_sin_WiFi,,19.327218,-99.03299,BUENAVISTA II,Iztapalapa
